sequence,visit_day,request_wave,priority,chapter,cluster_title,request_identifier,request_type,source_part,office,visit_goal,why_it_matters,first_onsite_action,onsite_actions,target_terms,capture_folder_title,capture_box_or_container,capture_item_title,capture_item_date,capture_sender_recipient,capture_document_type,capture_classification_markings,capture_page_range,capture_attachments,capture_withdrawal_or_redaction_notes,capture_volume_boundary,candidate_disposition,final_source_note,source_note
11,Day 1,Day 1 / 02.07,A,NPT and CTBT,"PRD-19, CTB negotiations, and nuclear-testing policy",OA/ID 3333,OA/ID request,Part 1,Defense Policy / Robert Bell and Steven Andreasen,"Pull the PRD-19 and CTB folders first. They are the best on-site path into the 1993 nuclear-testing review, CTBT negotiation strategy, P-5 diplomacy, verification, hydronuclear issues, and country-specific CTB files.",The public site already has CTBT statements. These folders are the likely internal decision record behind them.,Prioritize OA/ID 267 PRD-19 folders and OA/ID 2899/3333 Andreasen PRD-19 folders.,"Prioritize OA/ID 267 PRD-19 folders and OA/ID 2899/3333 Andreasen PRD-19 folders.; Then pull OA/ID 381 CTB July-August 1993 folders and OA/ID 3331 CTB negotiations/nuclear testing/France folders.; For each folder, record exact folder title, date span, classification/restriction markings, item titles, and page ranges.",PRD-19; CTB; Comprehensive Test Ban; nuclear testing; verification; hydronuclear,,,,,,,,,,,,,,"Source: Clinton Presidential Library, 2013-0185-M folder-title lists, Part 1, OA/ID 3333. Folder-title request lead; verify exact box, folder title, item date, classification, and pagination on site."
12,Day 1,Day 1 / 02.08,A,NPT and CTBT,"PRD-19, CTB negotiations, and nuclear-testing policy",OA/ID 3850,OA/ID request,Part 1,Defense Policy / Robert Bell and Steven Andreasen,"Pull the PRD-19 and CTB folders first. They are the best on-site path into the 1993 nuclear-testing review, CTBT negotiation strategy, P-5 diplomacy, verification, hydronuclear issues, and country-specific CTB files.",The public site already has CTBT statements. These folders are the likely internal decision record behind them.,Prioritize OA/ID 267 PRD-19 folders and OA/ID 2899/3333 Andreasen PRD-19 folders.,"Prioritize OA/ID 267 PRD-19 folders and OA/ID 2899/3333 Andreasen PRD-19 folders.; Then pull OA/ID 381 CTB July-August 1993 folders and OA/ID 3331 CTB negotiations/nuclear testing/France folders.; For each folder, record exact folder title, date span, classification/restriction markings, item titles, and page ranges.",PRD-19; CTB; Comprehensive Test Ban; nuclear testing; verification; hydronuclear,,,,,,,,,,,,,,"Source: Clinton Presidential Library, 2013-0185-M folder-title lists, Part 1, OA/ID 3850. Folder-title request lead; verify exact box, folder title, item date, classification, and pagination on site."
13,Day 1,Day 1 / 03.01,A,NPT and CTBT,NPT extension briefing and rollout files,OA/ID 3850,OA/ID request,Parts 1 and 4,Defense Policy / Steven Andreasen; Staff Director / Nancy Soderberg,"Review the Nonproliferation Treaty briefing book folders and Soderberg NPT guidance/readiness files for internal themes, rollout, and interagency clearance.",This is the best visible folder-level path from public NPT extension statements to internal policy guidance.,Pull OA/ID 3850 Nonproliferation Treaty Briefing Book 1995 folders [2]-[7].,"Pull OA/ID 3850 Nonproliferation Treaty Briefing Book 1995 folders [2]-[7].; Pull OA/ID 1406 NPT Guidance/Themes, NPT February 1995, and NPT Readiness/Rollout.; Flag any Egypt, South Africa, Ukraine, NAM, Article VI, or negative-security-assurance material for item-level selection.",NPT; briefing book; readiness; rollout; guidance; themes,,,,,,,,,,,,,,"Source: Clinton Presidential Library, 2013-0185-M folder-title lists, Parts 1 and 4, OA/ID 3850. Folder-title request lead; verify exact box, folder title, item date, classification, and pagination on site."
14,Day 1,Day 1 / 03.02,A,NPT and CTBT,NPT extension briefing and rollout files,OA/ID 1406,OA/ID request,Parts 1 and 4,Defense Policy / Steven Andreasen; Staff Director / Nancy Soderberg,"Review the Nonproliferation Treaty briefing book folders and Soderberg NPT guidance/readiness files for internal themes, rollout, and interagency clearance.",This is the best visible folder-level path from public NPT extension statements to internal policy guidance.,Pull OA/ID 3850 Nonproliferation Treaty Briefing Book 1995 folders [2]-[7].,"Pull OA/ID 3850 Nonproliferation Treaty Briefing Book 1995 folders [2]-[7].; Pull OA/ID 1406 NPT Guidance/Themes, NPT February 1995, and NPT Readiness/Rollout.; Flag any Egypt, South Africa, Ukraine, NAM, Article VI, or negative-security-assurance material for item-level selection.",NPT; briefing book; readiness; rollout; guidance; themes,,,,,,,,,,,,,,"Source: Clinton Presidential Library, 2013-0185-M folder-title lists, Parts 1 and 4, OA/ID 1406. Folder-title request lead; verify exact box, folder title, item date, classification, and pagination on site."
15,Day 1,Day 1 / 04.01,A,START II Ratification,"START II, Ukraine START, and Nunn-Lugar certification folders",OA/ID 380,OA/ID request,Part 1,Defense Policy / Robert Bell and Anne Witkowsky,"Pull START II ratification, Ukraine START, START entry-into-force, and Nunn-Lugar certification/foreign-assistance folders as a combined ratification-and-implementation set.","The START II chapter needs Senate/Duma/ABM context, while CTR/HEU needs the same former-Soviet nuclear-security implementation trail.",Start with OA/ID 380 Russia START II ratification and Ukraine START folders.,Start with OA/ID 380 Russia START II ratification and Ukraine START folders.; Pull OA/ID 940 Nunn-Lugar Certification and Russian START II/START EIF/Ukraine START folders.; Pull OA/ID 2431 Nunn-Lugar Foreign Assistance folders [2]-[4] and compare with 2014-0644-M Nunn-Lugar MDR packet.,START II; Ukraine START; Nunn-Lugar; certification; entry into force,,,,,,,,,,,,,,"Source: Clinton Presidential Library, 2013-0185-M folder-title lists, Part 1, OA/ID 380. Folder-title request lead; verify exact box, folder title, item date, classification, and pagination on site."
16,Day 1,Day 1 / 04.02,A,START II Ratification,"START II, Ukraine START, and Nunn-Lugar certification folders",OA/ID 940,OA/ID request,Part 1,Defense Policy / Robert Bell and Anne Witkowsky,"Pull START II ratification, Ukraine START, START entry-into-force, and Nunn-Lugar certification/foreign-assistance folders as a combined ratification-and-implementation set.","The START II chapter needs Senate/Duma/ABM context, while CTR/HEU needs the same former-Soviet nuclear-security implementation trail.",Start with OA/ID 380 Russia START II ratification and Ukraine START folders.,Start with OA/ID 380 Russia START II ratification and Ukraine START folders.; Pull OA/ID 940 Nunn-Lugar Certification and Russian START II/START EIF/Ukraine START folders.; Pull OA/ID 2431 Nunn-Lugar Foreign Assistance folders [2]-[4] and compare with 2014-0644-M Nunn-Lugar MDR packet.,START II; Ukraine START; Nunn-Lugar; certification; entry into force,,,,,,,,,,,,,,"Source: Clinton Presidential Library, 2013-0185-M folder-title lists, Part 1, OA/ID 940. Folder-title request lead; verify exact box, folder title, item date, classification, and pagination on site."
17,Day 1,Day 1 / 04.03,A,START II Ratification,"START II, Ukraine START, and Nunn-Lugar certification folders",OA/ID 2431,OA/ID request,Part 1,Defense Policy / Robert Bell and Anne Witkowsky,"Pull START II ratification, Ukraine START, START entry-into-force, and Nunn-Lugar certification/foreign-assistance folders as a combined ratification-and-implementation set.","The START II chapter needs Senate/Duma/ABM context, while CTR/HEU needs the same former-Soviet nuclear-security implementation trail.",Start with OA/ID 380 Russia START II ratification and Ukraine START folders.,Start with OA/ID 380 Russia START II ratification and Ukraine START folders.; Pull OA/ID 940 Nunn-Lugar Certification and Russian START II/START EIF/Ukraine START folders.; Pull OA/ID 2431 Nunn-Lugar Foreign Assistance folders [2]-[4] and compare with 2014-0644-M Nunn-Lugar MDR packet.,START II; Ukraine START; Nunn-Lugar; certification; entry into force,,,,,,,,,,,,,,"Source: Clinton Presidential Library, 2013-0185-M folder-title lists, Part 1, OA/ID 2431. Folder-title request lead; verify exact box, folder title, item date, classification, and pagination on site."
18,Day 1,Day 1 / 05.01,A,Cooperative Threat Reduction and HEU Agreement,"DOE safeguards, Russian nuclear control, and HEU implementation paths",OA/ID 381,OA/ID request,Part 1,"Defense Policy / Robert Bell, Steven Andreasen, Betsy Pimentel, and Edward Bolton",Use DOE safeguards/security and Russian nuclear-control folders to connect public HEU transparency milestones to implementation records.,"CTR/HEU selection will be weak without DOE, safeguards, nuclear-control, and transparency records.",Pull OA/ID 381 Russian Nuclear Control August 1993 and DoE 1-KT Non-Proliferation Experiment folders.,Pull OA/ID 381 Russian Nuclear Control August 1993 and DoE 1-KT Non-Proliferation Experiment folders.; Pull OA/ID 3592 DOE Safeguards/Security folders [2]-[5].; Check OA/ID 2818 nuclear summit notification and MTCR/export-control folders for overlap with HEU or nuclear-materials security.,HEU; DOE; safeguards; Russian nuclear control; nuclear security,,,,,,,,,,,,,,"Source: Clinton Presidential Library, 2013-0185-M folder-title lists, Part 1, OA/ID 381. Folder-title request lead; verify exact box, folder title, item date, classification, and pagination on site."
19,Day 1,Day 1 / 05.02,A,Cooperative Threat Reduction and HEU Agreement,"DOE safeguards, Russian nuclear control, and HEU implementation paths",OA/ID 3592,OA/ID request,Part 1,"Defense Policy / Robert Bell, Steven Andreasen, Betsy Pimentel, and Edward Bolton",Use DOE safeguards/security and Russian nuclear-control folders to connect public HEU transparency milestones to implementation records.,"CTR/HEU selection will be weak without DOE, safeguards, nuclear-control, and transparency records.",Pull OA/ID 381 Russian Nuclear Control August 1993 and DoE 1-KT Non-Proliferation Experiment folders.,Pull OA/ID 381 Russian Nuclear Control August 1993 and DoE 1-KT Non-Proliferation Experiment folders.; Pull OA/ID 3592 DOE Safeguards/Security folders [2]-[5].; Check OA/ID 2818 nuclear summit notification and MTCR/export-control folders for overlap with HEU or nuclear-materials security.,HEU; DOE; safeguards; Russian nuclear control; nuclear security,,,,,,,,,,,,,,"Source: Clinton Presidential Library, 2013-0185-M folder-title lists, Part 1, OA/ID 3592. Folder-title request lead; verify exact box, folder title, item date, classification, and pagination on site."
20,Day 1,Day 1 / 05.03,A,Cooperative Threat Reduction and HEU Agreement,"DOE safeguards, Russian nuclear control, and HEU implementation paths",OA/ID 2818,OA/ID request,Part 1,"Defense Policy / Robert Bell, Steven Andreasen, Betsy Pimentel, and Edward Bolton",Use DOE safeguards/security and Russian nuclear-control folders to connect public HEU transparency milestones to implementation records.,"CTR/HEU selection will be weak without DOE, safeguards, nuclear-control, and transparency records.",Pull OA/ID 381 Russian Nuclear Control August 1993 and DoE 1-KT Non-Proliferation Experiment folders.,Pull OA/ID 381 Russian Nuclear Control August 1993 and DoE 1-KT Non-Proliferation Experiment folders.; Pull OA/ID 3592 DOE Safeguards/Security folders [2]-[5].; Check OA/ID 2818 nuclear summit notification and MTCR/export-control folders for overlap with HEU or nuclear-materials security.,HEU; DOE; safeguards; Russian nuclear control; nuclear security,,,,,,,,,,,,,,"Source: Clinton Presidential Library, 2013-0185-M folder-title lists, Part 1, OA/ID 2818. Folder-title request lead; verify exact box, folder title, item date, classification, and pagination on site."
21,Day 1,Day 1 / 06.01,A,Chemical and Biological Weapons,"CWC ratification, BWC, Russian BW/CW, and chemical demilitarization",OA/ID 381,OA/ID request,"Parts 1, 3, and 4","Defense Policy, Legal Advisor, Speechwriting",Pull CWC/BWC legal and NSC policy folders alongside Russian BW/CW and chemical-demilitarization files.,"This turns the CBW chapter from public letters into a real ratification, verification, and Russian compliance source map.","Pull Defense Policy CWC ratification folders in OA/ID 381, 939, and 844.","Pull Defense Policy CWC ratification folders in OA/ID 381, 939, and 844.; Pull Legal Advisor CWC/BWC folders: OA/ID 1007, 2471, 3115, 3311, 3390, and 3393.; Pull Speechwriting CWC folders only after internal policy folders, using them to trace public-language clearance.",CWC; BWC; Russian BW; Russian CW; chemical demilitarization; verification,,,,,,,,,,,,,,"Source: Clinton Presidential Library, 2013-0185-M folder-title lists, Parts 1, 3, and 4, OA/ID 381. Folder-title request lead; verify exact box, folder title, item date, classification, and pagination on site."
22,Day 1,Day 1 / 06.02,A,Chemical and Biological Weapons,"CWC ratification, BWC, Russian BW/CW, and chemical demilitarization",OA/ID 844,OA/ID request,"Parts 1, 3, and 4","Defense Policy, Legal Advisor, Speechwriting",Pull CWC/BWC legal and NSC policy folders alongside Russian BW/CW and chemical-demilitarization files.,"This turns the CBW chapter from public letters into a real ratification, verification, and Russian compliance source map.","Pull Defense Policy CWC ratification folders in OA/ID 381, 939, and 844.","Pull Defense Policy CWC ratification folders in OA/ID 381, 939, and 844.; Pull Legal Advisor CWC/BWC folders: OA/ID 1007, 2471, 3115, 3311, 3390, and 3393.; Pull Speechwriting CWC folders only after internal policy folders, using them to trace public-language clearance.",CWC; BWC; Russian BW; Russian CW; chemical demilitarization; verification,,,,,,,,,,,,,,"Source: Clinton Presidential Library, 2013-0185-M folder-title lists, Parts 1, 3, and 4, OA/ID 844. Folder-title request lead; verify exact box, folder title, item date, classification, and pagination on site."
23,Day 1,Day 1 / 06.03,A,Chemical and Biological Weapons,"CWC ratification, BWC, Russian BW/CW, and chemical demilitarization",OA/ID 939,OA/ID request,"Parts 1, 3, and 4","Defense Policy, Legal Advisor, Speechwriting",Pull CWC/BWC legal and NSC policy folders alongside Russian BW/CW and chemical-demilitarization files.,"This turns the CBW chapter from public letters into a real ratification, verification, and Russian compliance source map.","Pull Defense Policy CWC ratification folders in OA/ID 381, 939, and 844.","Pull Defense Policy CWC ratification folders in OA/ID 381, 939, and 844.; Pull Legal Advisor CWC/BWC folders: OA/ID 1007, 2471, 3115, 3311, 3390, and 3393.; Pull Speechwriting CWC folders only after internal policy folders, using them to trace public-language clearance.",CWC; BWC; Russian BW; Russian CW; chemical demilitarization; verification,,,,,,,,,,,,,,"Source: Clinton Presidential Library, 2013-0185-M folder-title lists, Parts 1, 3, and 4, OA/ID 939. Folder-title request lead; verify exact box, folder title, item date, classification, and pagination on site."
24,Day 1,Day 1 / 06.04,A,Chemical and Biological Weapons,"CWC ratification, BWC, Russian BW/CW, and chemical demilitarization",OA/ID 1007,OA/ID request,"Parts 1, 3, and 4","Defense Policy, Legal Advisor, Speechwriting",Pull CWC/BWC legal and NSC policy folders alongside Russian BW/CW and chemical-demilitarization files.,"This turns the CBW chapter from public letters into a real ratification, verification, and Russian compliance source map.","Pull Defense Policy CWC ratification folders in OA/ID 381, 939, and 844.","Pull Defense Policy CWC ratification folders in OA/ID 381, 939, and 844.; Pull Legal Advisor CWC/BWC folders: OA/ID 1007, 2471, 3115, 3311, 3390, and 3393.; Pull Speechwriting CWC folders only after internal policy folders, using them to trace public-language clearance.",CWC; BWC; Russian BW; Russian CW; chemical demilitarization; verification,,,,,,,,,,,,,,"Source: Clinton Presidential Library, 2013-0185-M folder-title lists, Parts 1, 3, and 4, OA/ID 1007. Folder-title request lead; verify exact box, folder title, item date, classification, and pagination on site."
25,Day 1,Day 1 / 06.05,A,Chemical and Biological Weapons,"CWC ratification, BWC, Russian BW/CW, and chemical demilitarization",OA/ID 2471,OA/ID request,"Parts 1, 3, and 4","Defense Policy, Legal Advisor, Speechwriting",Pull CWC/BWC legal and NSC policy folders alongside Russian BW/CW and chemical-demilitarization files.,"This turns the CBW chapter from public letters into a real ratification, verification, and Russian compliance source map.","Pull Defense Policy CWC ratification folders in OA/ID 381, 939, and 844.","Pull Defense Policy CWC ratification folders in OA/ID 381, 939, and 844.; Pull Legal Advisor CWC/BWC folders: OA/ID 1007, 2471, 3115, 3311, 3390, and 3393.; Pull Speechwriting CWC folders only after internal policy folders, using them to trace public-language clearance.",CWC; BWC; Russian BW; Russian CW; chemical demilitarization; verification,,,,,,,,,,,,,,"Source: Clinton Presidential Library, 2013-0185-M folder-title lists, Parts 1, 3, and 4, OA/ID 2471. Folder-title request lead; verify exact box, folder title, item date, classification, and pagination on site."
26,Day 1,Day 1 / 06.06,A,Chemical and Biological Weapons,"CWC ratification, BWC, Russian BW/CW, and chemical demilitarization",OA/ID 3115,OA/ID request,"Parts 1, 3, and 4","Defense Policy, Legal Advisor, Speechwriting",Pull CWC/BWC legal and NSC policy folders alongside Russian BW/CW and chemical-demilitarization files.,"This turns the CBW chapter from public letters into a real ratification, verification, and Russian compliance source map.","Pull Defense Policy CWC ratification folders in OA/ID 381, 939, and 844.","Pull Defense Policy CWC ratification folders in OA/ID 381, 939, and 844.; Pull Legal Advisor CWC/BWC folders: OA/ID 1007, 2471, 3115, 3311, 3390, and 3393.; Pull Speechwriting CWC folders only after internal policy folders, using them to trace public-language clearance.",CWC; BWC; Russian BW; Russian CW; chemical demilitarization; verification,,,,,,,,,,,,,,"Source: Clinton Presidential Library, 2013-0185-M folder-title lists, Parts 1, 3, and 4, OA/ID 3115. Folder-title request lead; verify exact box, folder title, item date, classification, and pagination on site."
27,Day 1,Day 1 / 06.07,A,Chemical and Biological Weapons,"CWC ratification, BWC, Russian BW/CW, and chemical demilitarization",OA/ID 3311,OA/ID request,"Parts 1, 3, and 4","Defense Policy, Legal Advisor, Speechwriting",Pull CWC/BWC legal and NSC policy folders alongside Russian BW/CW and chemical-demilitarization files.,"This turns the CBW chapter from public letters into a real ratification, verification, and Russian compliance source map.","Pull Defense Policy CWC ratification folders in OA/ID 381, 939, and 844.","Pull Defense Policy CWC ratification folders in OA/ID 381, 939, and 844.; Pull Legal Advisor CWC/BWC folders: OA/ID 1007, 2471, 3115, 3311, 3390, and 3393.; Pull Speechwriting CWC folders only after internal policy folders, using them to trace public-language clearance.",CWC; BWC; Russian BW; Russian CW; chemical demilitarization; verification,,,,,,,,,,,,,,"Source: Clinton Presidential Library, 2013-0185-M folder-title lists, Parts 1, 3, and 4, OA/ID 3311. Folder-title request lead; verify exact box, folder title, item date, classification, and pagination on site."
