sequence,date,priority,chapter,event_type,diary_anchor_title,participants,occurrence_source_path,occurrence_source_note,occurrence_source_url,occurrence_digital_object_url,catalog_search_url,counterpart_needed,likely_counterpart_record_types,search_action,related_candidate_leads,clinton_library_pull_clusters,public_statement_anchors,target_terms,required_verification,capture_counterpart_title,capture_counterpart_date,capture_counterpart_record_type,capture_source_path,capture_author_recipient,capture_classification_markings,capture_page_range,capture_relationship_to_diary_entry,disposition,final_source_note,compiler_notes
11,1994-10-05,Medium,Strategic Arms and Nuclear Security,Presidential Daily Diary call,Two conference calls with President Boris Yeltsin,Bill Clinton; Boris Yeltsin; Al Gore; Jessica Stern; Dimitry Zarechnak,2010-0083-F hardcopy scan,"Source: Clinton Presidential Library, Ellen McCathran - Presidential Daily Diary, 2010-0083-F, Box 1, 42-t-7262157-20100083F-001-008-2015.pdf, October 5, 1994 entries. Presidential Daily Diary hardcopy; substantive agenda requires telcon file verification.",https://catalog.archives.gov/search?q=%222010-0083-F%22&collectionIdentifier=WJC*,https://nara-media.s3.amazonaws.com/presidential-libraries/clinton/foia/2010-0083-F/2010-0083-F-PDF/Box_001/42-t-7262157-20100083F-001-008-2015.pdf,,"Yes: diary or index entry proves occurrence only; locate the substantive telcon, memcon, PC/DC minutes, NSC note, cable, or agency file before final selection.",telcon memorandum; NSC call memorandum; interpreter or translation record; memorandum of conversation; NSC meeting note; briefing book or trip file; NSC Russia arms-control file; joint-statement clearance record,"Locate telcon memorandum or NSC call memorandum for ""Two conference calls with President Boris Yeltsin""; screen ""PDD on Nuclear Security 9/20/95""; capture the substantive counterpart before using the diary entry as sequence evidence.",date pending: PDD on Nuclear Security 9/20/95; date pending: Working Groups: [Space Cooperation and Standing Committee Nuclear Materials],,1994-09-29: Joint Statement on Strategic Stability and Nuclear Security,Boris Yeltsin; Yeltsin; Al Gore; Gore; Jessica Stern; Stern; Dimitry Zarechnak; Zarechnak; Boris; Russian; shortly; after,"confirm diary date/time and page; locate substantive counterpart record; record author, recipient, or principals; record classification markings and page range; decide select, cite as context, or discard",,,,,,,,,,,
12,1994-11-22,High,Cooperative Threat Reduction and HEU Agreement,Foreign-leader meeting index,Meeting with President Leonid Kuchma of Ukraine,Bill Clinton; Leonid Kuchma,Foreign-leader calls and meetings index,"Source: Clinton Presidential Library, President Clinton's Meetings and Telephone Calls with Foreign Leaders, Representatives, and Dignitaries, November 22, 1994 entry. Index derived from Presidential Daily Diary and Presidential Schedules; verify against daily diary and meeting record.",https://www.clintonlibrary.gov/sites/default/files/documents//copy-clinton-foreign-meetingsdocx.pdf,,https://catalog.archives.gov/search?q=%222010-0083-F%22&collectionIdentifier=WJC*,"Yes: diary or index entry proves occurrence only; locate the substantive telcon, memcon, PC/DC minutes, NSC note, cable, or agency file before final selection.",memorandum of conversation; NSC meeting note; briefing book or trip file; CTR or HEU implementation file; Ukraine/Russia nuclear-removal file; State cable,"Locate memorandum of conversation or NSC meeting note for ""Meeting with President Leonid Kuchma of Ukraine""; screen ""Declassified Documents Concerning the Nunn-Lugar Cooperative Threat Reduction Program""; pull ""DOE safeguards, Russian nuclear control, and HEU implementation paths""; capture the substantive counterpart before using the diary entry as sequence evidence.",1994-1996: Declassified Documents Concerning the Nunn-Lugar Cooperative Threat Reduction Program; 1994-01-14: Trilateral Meeting with President Boris Yeltsin of Russia on Security Issues; 1993-04-04: Meeting with Russian President Boris Yeltsin on Security Issues; date pending: Notebooks: [Nunn Lugar Meeting],"A: DOE safeguards, Russian nuclear control, and HEU implementation paths (381, 3592, 2818)",,Leonid Kuchma; Kuchma; Leonid; Ukraine; Post-Trilateral; nuclear-removal; contact; Check; against; Budapest; Memorandum; CTR,"confirm diary date/time and page; locate substantive counterpart record; record author, recipient, or principals; record classification markings and page range; decide select, cite as context, or discard",,,,,,,,,,,
13,1995-05-10,High,Nonproliferation Regimes,Foreign-leader meeting index,Meeting with President Boris Yeltsin in Moscow,Bill Clinton; Boris Yeltsin,Foreign-leader calls and meetings index,"Source: Clinton Presidential Library, President Clinton's Meetings and Telephone Calls with Foreign Leaders, Representatives, and Dignitaries, May 10, 1995 entry. Index derived from Presidential Daily Diary and Presidential Schedules; verify against released Moscow summit records.",https://www.clintonlibrary.gov/sites/default/files/documents//copy-clinton-foreign-meetingsdocx.pdf,,https://catalog.archives.gov/search?q=%222010-0083-F%22&collectionIdentifier=WJC*,"Yes: diary or index entry proves occurrence only; locate the substantive telcon, memcon, PC/DC minutes, NSC note, cable, or agency file before final selection.",memorandum of conversation; NSC meeting note; briefing book or trip file; State/ACDA nonproliferation file; export-control or treaty file,"Locate memorandum of conversation or NSC meeting note for ""Meeting with President Boris Yeltsin in Moscow""; screen ""[Anthony] Lake - Non-Proliferation Speech, [1/30/95]""; pull ""Legal Advisor treaty and sanctions stack""; capture the substantive counterpart before using the diary entry as sequence evidence.","date pending: [Anthony] Lake - Non-Proliferation Speech, [1/30/95]; date pending: Non-Proliferation Treaty/Budapest; date pending: Nonproliferation; date pending: Nonproliferation - Talking Points","B: Legal Advisor treaty and sanctions stack (1007, 2251, 2252, 2471)",1995-05-10: Joint Statement on Nonproliferation,Boris Yeltsin; Yeltsin; Boris; Moscow; summit; anchor; nonproliferation; missile; systems; transparency; irreversible; NPT,"confirm diary date/time and page; locate substantive counterpart record; record author, recipient, or principals; record classification markings and page range; decide select, cite as context, or discard",,,,,,,,,,,
14,1995-06-07,High,Regional Proliferation Cases,Presidential Daily Diary call,Conference call with President Kim Young-sam of South Korea,Bill Clinton; Kim Young-sam; Robert Litwak; Stanley Roth; Daniel Poneman,2010-0083-F hardcopy scan,"Source: Clinton Presidential Library, Ellen McCathran - Presidential Daily Diary, 2010-0083-F, Box 1, 42-t-7262157-20100083F-001-011-2015.pdf, June 7, 1995 entry. Presidential Daily Diary hardcopy; substantive agenda requires telcon file verification.",https://catalog.archives.gov/search?q=%222010-0083-F%22&collectionIdentifier=WJC*,https://nara-media.s3.amazonaws.com/presidential-libraries/clinton/foia/2010-0083-F/2010-0083-F-PDF/Box_001/42-t-7262157-20100083F-001-011-2015.pdf,,"Yes: diary or index entry proves occurrence only; locate the substantive telcon, memcon, PC/DC minutes, NSC note, cable, or agency file before final selection.",telcon memorandum; NSC call memorandum; interpreter or translation record; NSC regional policy file; State cable; PC/DC record,"Locate telcon memorandum or NSC call memorandum for ""Conference call with President Kim Young-sam of South Korea""; screen ""Declassified documents on North Korea""; pull ""North Korea PC/DC meeting notes and working files""; capture the substantive counterpart before using the diary entry as sequence evidence.",1994: Declassified documents on North Korea; date pending: North Korea - Framework [1]; date pending: North Korea - Framework [10]; date pending: North Korea - Framework [11],"A: North Korea PC/DC meeting notes and working files (1394, 1406, 278, 644); A: Iran, Iraq, UNSCOM, and regional WMD files (255, 723, 724, 727); A: Technology transfers to China, ACDA, and missile proliferation (1797, 1808, 1809, 1810)",,Kim Young-sam; Young-sam; Robert Litwak; Litwak; Stanley Roth; Roth; Daniel Poneman; Poneman; South; Korea; Agreed; Framework,"confirm diary date/time and page; locate substantive counterpart record; record author, recipient, or principals; record classification markings and page range; decide select, cite as context, or discard",,,,,,,,,,,
15,1995-10-23,High,Cooperative Threat Reduction and HEU Agreement,Foreign-leader meeting index,Meeting with President Boris Yeltsin at Hyde Park,Bill Clinton; Boris Yeltsin,Foreign-leader calls and meetings index,"Source: Clinton Presidential Library, President Clinton's Meetings and Telephone Calls with Foreign Leaders, Representatives, and Dignitaries, October 23, 1995 entry. Index derived from Presidential Daily Diary and Presidential Schedules; verify against daily diary and released summit records.",https://www.clintonlibrary.gov/sites/default/files/documents//copy-clinton-foreign-meetingsdocx.pdf,,https://catalog.archives.gov/search?q=%222010-0083-F%22&collectionIdentifier=WJC*,"Yes: diary or index entry proves occurrence only; locate the substantive telcon, memcon, PC/DC minutes, NSC note, cable, or agency file before final selection.",memorandum of conversation; NSC meeting note; briefing book or trip file; CTR or HEU implementation file; Ukraine/Russia nuclear-removal file; State cable,"Locate memorandum of conversation or NSC meeting note for ""Meeting with President Boris Yeltsin at Hyde Park""; screen ""Meeting with Russian President Boris Yeltsin on Security Issues""; pull ""DOE safeguards, Russian nuclear control, and HEU implementation paths""; capture the substantive counterpart before using the diary entry as sequence evidence.",1993-04-04: Meeting with Russian President Boris Yeltsin on Security Issues; 1994-01-14: Trilateral Meeting with President Boris Yeltsin of Russia on Security Issues; 1994-1996: Declassified Documents Concerning the Nunn-Lugar Cooperative Threat Reduction Program; date pending: Notebooks: [Nunn Lugar Meeting],"A: DOE safeguards, Russian nuclear control, and HEU implementation paths (381, 3592, 2818)",1995-10-23: Joint Statement With President Yeltsin on Nuclear Materials Security,Boris Yeltsin; Yeltsin; Boris; Hyde; Park; Direct; diary; schedule; reference; nuclear-materials-security; summit; setting,"confirm diary date/time and page; locate substantive counterpart record; record author, recipient, or principals; record classification markings and page range; decide select, cite as context, or discard",,,,,,,,,,,
16,1995-11-15,Medium,Regional Proliferation Cases,Presidential Daily Diary call,Conference call with President Kim Young-sam of South Korea,Bill Clinton; Kim Young-sam,2010-0083-F hardcopy scan,"Source: Clinton Presidential Library, Ellen McCathran - Presidential Daily Diary, 2010-0083-F, Box 1, 42-t-7262157-20100083F-001-012-2015.pdf, November 15, 1995 entry. Presidential Daily Diary hardcopy; substantive agenda requires telcon file verification.",https://catalog.archives.gov/search?q=%222010-0083-F%22&collectionIdentifier=WJC*,https://nara-media.s3.amazonaws.com/presidential-libraries/clinton/foia/2010-0083-F/2010-0083-F-PDF/Box_001/42-t-7262157-20100083F-001-012-2015.pdf,,"Yes: diary or index entry proves occurrence only; locate the substantive telcon, memcon, PC/DC minutes, NSC note, cable, or agency file before final selection.",telcon memorandum; NSC call memorandum; interpreter or translation record; NSC regional policy file; State cable; PC/DC record,"Locate telcon memorandum or NSC call memorandum for ""Conference call with President Kim Young-sam of South Korea""; screen ""Declassified documents on North Korea""; pull ""North Korea PC/DC meeting notes and working files""; capture the substantive counterpart before using the diary entry as sequence evidence.",1994: Declassified documents on North Korea; date pending: North Korea - Framework [1]; date pending: North Korea - Framework [10]; date pending: North Korea - Framework [11],"A: North Korea PC/DC meeting notes and working files (1394, 1406, 278, 644); A: Iran, Iraq, UNSCOM, and regional WMD files (255, 723, 724, 727); A: Technology transfers to China, ACDA, and missile proliferation (1797, 1808, 1809, 1810)",,Kim Young-sam; Young-sam; South; Korea; Korean; peninsula; follow-up; after; Agreed; Framework; implementation; North Korea,"confirm diary date/time and page; locate substantive counterpart record; record author, recipient, or principals; record classification markings and page range; decide select, cite as context, or discard",,,,,,,,,,,
17,1996-01-26,High,START II Ratification,Foreign-leader call index,Telephone call with President Boris Yeltsin of Russia,Bill Clinton; Boris Yeltsin,Foreign-leader calls and meetings index,"Source: Clinton Presidential Library, President Clinton's Meetings and Telephone Calls with Foreign Leaders, Representatives, and Dignitaries, January 26, 1996 entry. Index derived from Presidential Daily Diary and Presidential Schedules; verify against released telcon and daily diary.",https://www.clintonlibrary.gov/sites/default/files/documents//copy-clinton-foreign-meetingsdocx.pdf,,https://catalog.archives.gov/search?q=%222010-0083-F%22&collectionIdentifier=WJC*,"Yes: diary or index entry proves occurrence only; locate the substantive telcon, memcon, PC/DC minutes, NSC note, cable, or agency file before final selection.",telcon memorandum; NSC call memorandum; interpreter or translation record; START II ratification strategy file; Duma or ABM implementation note,"Locate telcon memorandum or NSC call memorandum for ""Telephone call with President Boris Yeltsin of Russia""; screen ""Telephone call with President Boris Yeltsin of Russia, January 26, 1996""; pull ""START II, Ukraine START, and Nunn-Lugar certification folders""; capture the substantive counterpart before using the diary entry as sequence evidence.","1996-01-26: Telephone call with President Boris Yeltsin of Russia, January 26, 1996; 1993-1996: Declassified Documents of Robert Bell concerning START II and Non-Proliferation; date pending: START II Press Statement 1/26/96; date pending: CSCE [Conference on Security and Cooperation in Europe] December 1994 [3]","A: START II, Ukraine START, and Nunn-Lugar certification folders (380, 940, 2431)",1996-01-26: Statement on Senate Ratification of the START II Nuclear Arms Reduction Treaty With Russia,Boris Yeltsin; Yeltsin; Boris; Russia; Same; public; Senate; ratification; START; high-priority; telcon; START II,"confirm diary date/time and page; locate substantive counterpart record; record author, recipient, or principals; record classification markings and page range; decide select, cite as context, or discard",,,,,,,,,,,
18,1996-02-21,High,Cooperative Threat Reduction and HEU Agreement,Foreign-leader meeting index,Meeting with President Leonid Kuchma of Ukraine,Bill Clinton; Leonid Kuchma,Foreign-leader calls and meetings index,"Source: Clinton Presidential Library, President Clinton's Meetings and Telephone Calls with Foreign Leaders, Representatives, and Dignitaries, February 21, 1996 entry. Index derived from Presidential Daily Diary and Presidential Schedules; verify against daily diary and meeting record.",https://www.clintonlibrary.gov/sites/default/files/documents//copy-clinton-foreign-meetingsdocx.pdf,,https://catalog.archives.gov/search?q=%222010-0083-F%22&collectionIdentifier=WJC*,"Yes: diary or index entry proves occurrence only; locate the substantive telcon, memcon, PC/DC minutes, NSC note, cable, or agency file before final selection.",memorandum of conversation; NSC meeting note; briefing book or trip file; CTR or HEU implementation file; Ukraine/Russia nuclear-removal file; State cable,"Locate memorandum of conversation or NSC meeting note for ""Meeting with President Leonid Kuchma of Ukraine""; screen ""Meeting with Russian President Boris Yeltsin on Security Issues""; pull ""DOE safeguards, Russian nuclear control, and HEU implementation paths""; capture the substantive counterpart before using the diary entry as sequence evidence.",1993-04-04: Meeting with Russian President Boris Yeltsin on Security Issues; 1994-1996: Declassified Documents Concerning the Nunn-Lugar Cooperative Threat Reduction Program; 1994-01-14: Trilateral Meeting with President Boris Yeltsin of Russia on Security Issues; date pending: Notebooks: [Nunn Lugar Meeting],"A: DOE safeguards, Russian nuclear control, and HEU implementation paths (381, 3592, 2818)",1996-06-01: Statement on Arms Reduction Agreements With Russia and Ukraine; 1996-04-21: Russia-U.S. Joint Statement on the Highly Enriched Uranium Agreement: Transparency Measures; 1995-10-23: Joint Statement With President Yeltsin on Nuclear Materials Security,Leonid Kuchma; Kuchma; Leonid; Ukraine; implementation; lane; START; warhead-removal; follow-through; 1996; CTR; HEU,"confirm diary date/time and page; locate substantive counterpart record; record author, recipient, or principals; record classification markings and page range; decide select, cite as context, or discard",,,,,,,,,,,
19,1996-04-21,High,Cooperative Threat Reduction and HEU Agreement,Foreign-leader meeting index,Meeting with President Boris Yeltsin in Moscow,Bill Clinton; Boris Yeltsin,Foreign-leader calls and meetings index,"Source: Clinton Presidential Library, President Clinton's Meetings and Telephone Calls with Foreign Leaders, Representatives, and Dignitaries, April 21, 1996 entry. Index derived from Presidential Daily Diary and Presidential Schedules; verify against released Moscow summit records.",https://www.clintonlibrary.gov/sites/default/files/documents//copy-clinton-foreign-meetingsdocx.pdf,,https://catalog.archives.gov/search?q=%222010-0083-F%22&collectionIdentifier=WJC*,"Yes: diary or index entry proves occurrence only; locate the substantive telcon, memcon, PC/DC minutes, NSC note, cable, or agency file before final selection.",memorandum of conversation; NSC meeting note; briefing book or trip file; CTR or HEU implementation file; Ukraine/Russia nuclear-removal file; State cable,"Locate memorandum of conversation or NSC meeting note for ""Meeting with President Boris Yeltsin in Moscow""; screen ""Trilateral Meeting with President Boris Yeltsin of Russia on Security Issues""; pull ""DOE safeguards, Russian nuclear control, and HEU implementation paths""; capture the substantive counterpart before using the diary entry as sequence evidence.",1994-01-14: Trilateral Meeting with President Boris Yeltsin of Russia on Security Issues; 1993-04-04: Meeting with Russian President Boris Yeltsin on Security Issues; 1994-1996: Declassified Documents Concerning the Nunn-Lugar Cooperative Threat Reduction Program; date pending: Notebooks: [Nunn Lugar Meeting],"A: DOE safeguards, Russian nuclear control, and HEU implementation paths (381, 3592, 2818)",1996-04-21: Russia-U.S. Joint Statement on the Highly Enriched Uranium Agreement: Transparency Measures; 1996-06-01: Statement on Arms Reduction Agreements With Russia and Ukraine; 1996-09-23: Statement on Signing the National Defense Authorization Act for Fiscal Year 1997,Boris Yeltsin; Yeltsin; Boris; Moscow; nuclear-safety; summit; transparency-measures; setting; April; 1996; public; CTR,"confirm diary date/time and page; locate substantive counterpart record; record author, recipient, or principals; record classification markings and page range; decide select, cite as context, or discard",,,,,,,,,,,
20,1996-09-24,Medium,NPT and CTBT,Foreign-leader meeting index,Meeting with Foreign Minister Yevgeny Primakov of Russia,Bill Clinton; Yevgeny Primakov,Foreign-leader calls and meetings index,"Source: Clinton Presidential Library, President Clinton's Meetings and Telephone Calls with Foreign Leaders, Representatives, and Dignitaries, September 24, 1996 entry. Index derived from Presidential Daily Diary and Presidential Schedules; verify against daily diary and meeting record.",https://www.clintonlibrary.gov/sites/default/files/documents//copy-clinton-foreign-meetingsdocx.pdf,,https://catalog.archives.gov/search?q=%222010-0083-F%22&collectionIdentifier=WJC*,"Yes: diary or index entry proves occurrence only; locate the substantive telcon, memcon, PC/DC minutes, NSC note, cable, or agency file before final selection.",memorandum of conversation; NSC meeting note; briefing book or trip file; NSC/ACDA negotiation file; State or ACDA cable,"Locate memorandum of conversation or NSC meeting note for ""Meeting with Foreign Minister Yevgeny Primakov of Russia""; screen ""Comprehensive Test Ban Treaty Statement 9/10/96""; pull ""NPT extension briefing and rollout files""; capture the substantive counterpart before using the diary entry as sequence evidence.",date pending: Comprehensive Test Ban Treaty Statement 9/10/96; date pending: Nonproliferation - NPT [Non-Proliferation Treaty]; date pending: Nonproliferation - Test Ban; date pending: NPT [Non-Proliferation Treaty] - Communications,"A: NPT extension briefing and rollout files (3850, 1406); A: PRD-19, CTB negotiations, and nuclear-testing policy (267, 379, 380, 381)",1996-09-10: Remarks on the Comprehensive Nuclear Test Ban Treaty and an Exchange With Reporters in Kansas City,Yevgeny Primakov; Primakov; Minister; Yevgeny; Russia; Falls; CTBT; signature; date; should; checked; Russian,"confirm diary date/time and page; locate substantive counterpart record; record author, recipient, or principals; record classification markings and page range; decide select, cite as context, or discard",,,,,,,,,,,
21,1996-11-13,Medium,Regional Proliferation Cases,Foreign-leader call index,Telephone call with President Kim Young-sam of South Korea,Bill Clinton; Kim Young-sam,Foreign-leader calls and meetings index,"Source: Clinton Presidential Library, President Clinton's Meetings and Telephone Calls with Foreign Leaders, Representatives, and Dignitaries, November 13, 1996 entry. Index derived from Presidential Daily Diary and Presidential Schedules; verify against daily diary and telcon record.",https://www.clintonlibrary.gov/sites/default/files/documents//copy-clinton-foreign-meetingsdocx.pdf,,https://catalog.archives.gov/search?q=%222010-0083-F%22&collectionIdentifier=WJC*,"Yes: diary or index entry proves occurrence only; locate the substantive telcon, memcon, PC/DC minutes, NSC note, cable, or agency file before final selection.",telcon memorandum; NSC call memorandum; interpreter or translation record; PC/DC minutes; interagency options paper; agency situation report; NSC regional policy file; State cable; PC/DC record,"Locate telcon memorandum or NSC call memorandum for ""Telephone call with President Kim Young-sam of South Korea""; screen ""Aoki Notes [G-7, North Korea] [2]""; pull ""North Korea PC/DC meeting notes and working files""; capture the substantive counterpart before using the diary entry as sequence evidence.","date pending: Aoki Notes [G-7, North Korea] [2]; date pending: North Korea - Framework [1]; date pending: North Korea - Framework [10]; date pending: North Korea - Framework [11]","A: North Korea PC/DC meeting notes and working files (1394, 1406, 278, 644); A: Iran, Iraq, UNSCOM, and regional WMD files (255, 723, 724, 727); A: Technology transfers to China, ACDA, and missile proliferation (1797, 1808, 1809, 1810)",,Kim Young-sam; Young-sam; South; Korea; Late-1996; North; Korean; peninsula; diary; locator; regional; North Korea,"confirm diary date/time and page; locate substantive counterpart record; record author, recipient, or principals; record classification markings and page range; decide select, cite as context, or discard",,,,,,,,,,,
22,1996-12-09,Review,Regional Proliferation Cases,Foreign-leader meeting index,Meeting with Defense Minister Chi Haotian of China,Bill Clinton; Chi Haotian,Foreign-leader calls and meetings index,"Source: Clinton Presidential Library, President Clinton's Meetings and Telephone Calls with Foreign Leaders, Representatives, and Dignitaries, December 9, 1996 entry. Index derived from Presidential Daily Diary and Presidential Schedules; verify against daily diary and meeting record.",https://www.clintonlibrary.gov/sites/default/files/documents//copy-clinton-foreign-meetingsdocx.pdf,,https://catalog.archives.gov/search?q=%222010-0083-F%22&collectionIdentifier=WJC*,"Yes: diary or index entry proves occurrence only; locate the substantive telcon, memcon, PC/DC minutes, NSC note, cable, or agency file before final selection.",memorandum of conversation; NSC meeting note; briefing book or trip file; NSC regional policy file; State cable; PC/DC record,"Locate memorandum of conversation or NSC meeting note for ""Meeting with Defense Minister Chi Haotian of China""; screen ""Declassified documents concerning China""; pull ""Technology transfers to China, ACDA, and missile proliferation""; capture the substantive counterpart before using the diary entry as sequence evidence.",1996: Declassified documents concerning China; 1994: Declassified documents on North Korea; 1997-04-14: Declassified documents concerning South Asia; 1994-05-20: Declassified Documents concerning North Korea,"A: Technology transfers to China, ACDA, and missile proliferation (1797, 1808, 1809, 1810); A: North Korea PC/DC meeting notes and working files (1394, 1406, 278, 644); A: Iran, Iraq, UNSCOM, and regional WMD files (255, 723, 724, 727)",,Chi Haotian; Haotian; Defense; Minister; China; defense; contact; near; Volume; range; only; matching,"confirm diary date/time and page; locate substantive counterpart record; record author, recipient, or principals; record classification markings and page range; decide select, cite as context, or discard",,,,,,,,,,,
