sequence,date,chapter,priority,title,source_type,repository,collection,identifier,level,confidence,category,compiler_risk,source_note,source_url,digital_object_url,scout_search_url,matched_queries,topics,summary
14,1995-05-10,Strategic Arms and Nuclear Security,High,Russia-United States Joint Statement on Missile Systems,Public Papers,GovInfo,Public Papers of the Presidents,PPP-1995-book1-doc-pg667,published primary source,,public statement,,"Source: Public Papers of the Presidents of the United States: William J. Clinton, 1995, Book I, pp. 667-668, ""Russia-United States Joint Statement on Missile Systems""; GovInfo.",https://www.govinfo.gov/app/details/PPP-1995-book1/PPP-1995-book1-doc-pg667,https://www.govinfo.gov/content/pkg/PPP-1995-book1/pdf/PPP-1995-book1-doc-pg667.pdf,,Local Public Papers audit,Strategic Arms and Nuclear Security; pp. 667-668; Public Papers,"Source: Public Papers of the Presidents of the United States: William J. Clinton, 1995, Book I, pp. 667-668, ""Russia-United States Joint Statement on Missile Systems""; GovInfo."
15,,Strategic Arms and Nuclear Security,High,PDD on Nuclear Security 9/20/95,NARA Scout candidate,National Archives Catalog,,NAID 23903161,fileUnit,,cached NARA Scout candidate,,"Source: National Archives Catalog, NAID 23903161. File-unit title: ""PDD on Nuclear Security 9/20/95"". File-unit lead surfaced for research triage; item-level document text, classification, date, and pagination pending.",https://catalog.archives.gov/id/23903161,,https://therealjameswilson.github.io/nara-scout/?q=PDD%20on%20Nuclear%20Security%209%2F20%2F95,Cached NARA Scout result: Strategic Arms and Nuclear Security,Strategic Arms and Nuclear Security,NARA Scout candidate file unit identified for the Strategic Arms and Nuclear Security chapter.
16,,Strategic Arms and Nuclear Security,Review,Working Groups: [Space Cooperation and Standing Committee Nuclear Materials],NARA Scout candidate,National Archives Catalog,,NAID 235148508,fileUnit,,cached NARA Scout candidate,,"Source: National Archives Catalog, NAID 235148508. File-unit title: ""Working Groups: [Space Cooperation and Standing Committee Nuclear Materials]"". File-unit lead surfaced for research triage; item-level document text, classification, date, and pagination pending.",https://catalog.archives.gov/id/235148508,,https://therealjameswilson.github.io/nara-scout/?q=Working%20Groups%3A%20%5BSpace%20Cooperation%20and%20Standing%20Committee%20Nuclear%20Materials%5D,Cached NARA Scout result: Strategic Arms and Nuclear Security,Strategic Arms and Nuclear Security,NARA Scout candidate file unit identified for the Strategic Arms and Nuclear Security chapter.
17,1993-1996,START II Ratification,High,Declassified Documents of Robert Bell concerning START II and Non-Proliferation,Clinton Digital Library MDR,Clinton Digital Library,NSC Records Management System,2016-0048-M,packet lead,High,declassified document packet,"Directly relevant, but packet contents still need item-level source notes.","Source: Clinton Digital Library, NSC Records Management System, 2016-0048-M. Packet title: ""Declassified Documents of Robert Bell concerning START II and Non-Proliferation"". Packet lead; exact item title, classification, and pagination pending.",https://clinton.presidentiallibraries.us/items/show/101140,,,START II; Robert Bell; Ukraine; Russia,START II; Robert Bell; Ukraine; Russia,"MDR packet described as memoranda, briefing papers, and notes related to denuclearization discussions with Ukraine and Russia."
18,1995-12-15,START II Ratification,High,START II Treaty Executive Report,Senate executive report,Congress.gov,Senate Foreign Relations Committee,Ex. Rept. 104-10,published primary source,High,ratification record,Essential legislative record; not a substitute for White House ratification strategy files.,"Source: Congress.gov, Senate Foreign Relations Committee, Ex. Rept. 104-10. Title: ""START II Treaty Executive Report"". Published primary-source record; use with internal policy files before final document selection.",https://www.congress.gov/congressional-record/volume-141/issue-200/senate-section/article/S18737-2,,,START II; Senate Foreign Relations; ratification conditions,START II; Senate; ratification,"Committee report for START II ratification, needed to anchor Senate conditions and the executive-legislative ratification sequence."
19,1995-12-22,START II Ratification,High,Treaty With the Russian Federation on Further Reduction and Limitation of Strategic Offensive Arms,Congressional Record,Congress.gov,"Congressional Record, Senate","Cong. Rec. Vol. 141, No. 207",published primary source,High,ratification debate,Debate source; selection should pair with internal White House/SFRC handling records.,"Source: Congress.gov, Congressional Record, Senate, Cong. Rec. Vol. 141, No. 207. Title: ""Treaty With the Russian Federation on Further Reduction and Limitation of Strategic Offensive Arms"". Published primary-source record; use with internal policy files before final document selection.",https://www.congress.gov/congressional-record/volume-141/issue-207/senate-section/article/S19206-1,,,START II; Senate debate; December 1995,START II; Senate debate; Russia,Senate floor record for START II debate and resolution language immediately before the January 1996 Clinton public statement.
20,1996-01-26,START II Ratification,High,Statement on Senate Ratification of the START II Nuclear Arms Reduction Treaty With Russia,Public Papers,GovInfo,Public Papers of the Presidents,PPP-1996-book1-doc-pg104,published primary source,,public statement,,"Source: Public Papers of the Presidents of the United States: William J. Clinton, 1996, Book I, pp. 104-105, ""Statement on Senate Ratification of the START II Nuclear Arms Reduction Treaty With Russia""; GovInfo.",https://www.govinfo.gov/app/details/PPP-1996-book1/PPP-1996-book1-doc-pg104,https://www.govinfo.gov/content/pkg/PPP-1996-book1/pdf/PPP-1996-book1-doc-pg104.pdf,,Local Public Papers audit,START II Ratification; pp. 104-105; Public Papers,"Source: Public Papers of the Presidents of the United States: William J. Clinton, 1996, Book I, pp. 104-105, ""Statement on Senate Ratification of the START II Nuclear Arms Reduction Treaty With Russia""; GovInfo."
21,1996-01-26,START II Ratification,High,"Telephone call with President Boris Yeltsin of Russia, January 26, 1996",Companion site released telcon,Clinton-Russia-High-Level,Clinton Library release packet 2015-0782-M-1,2015-0782-M-1 / telcon 33,item-level review copy,High,released leader telcon,Review copy derives from the companion page; cite the Clinton Library packet in final source notes.,"Source: Clinton Library release packet 2015-0782-M-1, 2015-0782-M-1 / telcon 33. Title: ""Telephone call with President Boris Yeltsin of Russia, January 26, 1996"". Research lead; verify item-level source details before final FRUS selection. Review copy available through the companion Clinton-Russia page; verify the final citation against the owning release packet.",https://www.clintonlibrary.gov/research/archives/finding-aids/declassified-documents-concerning-russian-president-boris-yeltsin,https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1996-01-26-telcon-33.pdf,,START II; Yeltsin; ratification day,START II; Clinton-Yeltsin; telcon,Five-page released Clinton-Yeltsin telcon on the same day as Clinton's START II ratification statement; high-value companion to the public statement and Senate record.
22,,START II Ratification,High,START II Press Statement 1/26/96,NARA Scout candidate,National Archives Catalog,,NAID 23903296,fileUnit,,cached NARA Scout candidate,,"Source: National Archives Catalog, NAID 23903296. File-unit title: ""START II Press Statement 1/26/96"". File-unit lead surfaced for research triage; item-level document text, classification, date, and pagination pending.",https://catalog.archives.gov/id/23903296,,https://therealjameswilson.github.io/nara-scout/?q=START%20II%20Press%20Statement%201%2F26%2F96,Cached NARA Scout result: START II Ratification,START II Ratification,NARA Scout candidate file unit identified for the START II Ratification chapter.
23,,START II Ratification,Review,CSCE [Conference on Security and Cooperation in Europe] December 1994 [3],NARA Scout candidate,National Archives Catalog,,NAID 147873133,fileUnit,,cached NARA Scout candidate,,"Source: National Archives Catalog, NAID 147873133. File-unit title: ""CSCE [Conference on Security and Cooperation in Europe] December 1994 [3]"". File-unit lead surfaced for research triage; item-level document text, classification, date, and pagination pending.",https://catalog.archives.gov/id/147873133,,https://therealjameswilson.github.io/nara-scout/?q=CSCE%20%5BConference%20on%20Security%20and%20Cooperation%20in%20Europe%5D%20December%201994%20%5B3%5D,Cached NARA Scout result: START II Ratification,START II Ratification,NARA Scout candidate file unit identified for the START II Ratification chapter.
24,1993-04-04,Cooperative Threat Reduction and HEU Agreement,High,Meeting with Russian President Boris Yeltsin on Security Issues,Companion site released memcon,Clinton-Russia-High-Level,NSC Records Management PRS Files,NAID 163545404 / Document ID 9302226,item-level review copy,High,released leader memcon,Companion review copy; final citation should use the NARA catalog item and original page range.,"Source: NSC Records Management PRS Files, NAID 163545404 / Document ID 9302226. Title: ""Meeting with Russian President Boris Yeltsin on Security Issues"". Research lead; verify item-level source details before final FRUS selection. Review copy available through the companion Clinton-Russia page; verify the final citation against the owning release packet.",https://catalog.archives.gov/id/163545404,https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1993-04-04-clinton-yeltsin-vancouver-security-issues.pdf,,HEU; Ukraine; START; nuclear testing,HEU; Ukraine; START; nuclear testing,"Vancouver summit security memcon covering HEU, nuclear testing, Ukraine, START, arms sales, and related security issues."
25,1994-01-14,Cooperative Threat Reduction and HEU Agreement,High,Trilateral Meeting with President Boris Yeltsin of Russia on Security Issues,Companion site released memcon,Clinton-Russia-High-Level,Department of State FOIA candidate copy,C06694499 / F-2017-13804,item-level review copy,High,released leader memcon,State FOIA/Drive copy needs final archival citation verification.,"Source: Department of State FOIA candidate copy, C06694499 / F-2017-13804. Title: ""Trilateral Meeting with President Boris Yeltsin of Russia on Security Issues"". Research lead; verify item-level source details before final FRUS selection. Review copy available through the companion Clinton-Russia page; verify the final citation against the owning release packet.",https://drive.google.com/file/d/1mA2m1fonXTwvzmbdVLzjWV7iGpBWAC1r/view,https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1994-01-14-memcon-trilateral-yeltsin-kravchuk.pdf,,Ukraine denuclearization; Russia; Kravchuk; security issues,Ukraine; denuclearization; Russia,Three-page Clinton-Yeltsin-Kravchuk security memcon for the Moscow denuclearization sequence.
26,1994-1996,Cooperative Threat Reduction and HEU Agreement,High,Declassified Documents Concerning the Nunn-Lugar Cooperative Threat Reduction Program,Clinton Digital Library MDR,Clinton Digital Library,NSC Records Management System,2014-0644-M,packet lead,High,declassified document packet,Direct CTR packet; item boundaries and source-note details still need review.,"Source: Clinton Digital Library, NSC Records Management System, 2014-0644-M. Packet title: ""Declassified Documents Concerning the Nunn-Lugar Cooperative Threat Reduction Program"". Packet lead; exact item title, classification, and pagination pending.",https://clinton.presidentiallibraries.us/items/show/49417,,,Nunn-Lugar; CTR; Ukraine; Balkan states,CTR; Nunn-Lugar; Ukraine,"MDR packet with memoranda from 1994 through 1996 on Nunn-Lugar in Ukraine and the Balkan states, plus a February 1994 cable on space cooperation with Ukraine."
27,1995-10-23,Cooperative Threat Reduction and HEU Agreement,High,Joint Statement With President Yeltsin on Nuclear Materials Security,Public Papers,GovInfo,Public Papers of the Presidents,PPP-1995-book2-doc-pg1663,published primary source,,public statement,,"Source: Public Papers of the Presidents of the United States: William J. Clinton, 1995, Book II, pp. 1663-1664, ""Joint Statement With President Yeltsin on Nuclear Materials Security""; GovInfo.",https://www.govinfo.gov/app/details/PPP-1995-book2/PPP-1995-book2-doc-pg1663,https://www.govinfo.gov/content/pkg/PPP-1995-book2/pdf/PPP-1995-book2-doc-pg1663.pdf,,Local Public Papers audit,Cooperative Threat Reduction and HEU Agreement; pp. 1663-1664; Public Papers,"Source: Public Papers of the Presidents of the United States: William J. Clinton, 1995, Book II, pp. 1663-1664, ""Joint Statement With President Yeltsin on Nuclear Materials Security""; GovInfo."
28,1996,Cooperative Threat Reduction and HEU Agreement,Medium,"Annual Defense Report, 1996",Department of Defense report,DOD Historical Office,Annual Defense Reports,1996 DoD Annual Report,published primary source,Medium,official program context,"Program context source; use for implementation frame, not as a substitute for CTR action memoranda.","Source: DOD Historical Office, Annual Defense Reports, 1996 DoD Annual Report. Title: ""Annual Defense Report, 1996"". Published primary source.",https://history.defense.gov/Portals/70/Documents/annual_reports/1996_DoD_AR.pdf?ver=2014-06-24-153009-697,,,Cooperative Threat Reduction; DOD implementation; 1996,CTR; DOD; implementation,Official DOD annual report with CTR program context for former Soviet WMD threat reduction.
29,1996,Cooperative Threat Reduction and HEU Agreement,Medium,NMSS Licensee Newsletter on Russian HEU disposition and transparency measures,Nuclear Regulatory Commission notice,Nuclear Regulatory Commission,"NUREG/BR-0117, No. 96-1","NUREG/BR-0117, No. 96-1",published primary source,Medium,implementation context,"Technical/regulatory context; pair with DOE, USEC, and NSC transparency records.","Source: Nuclear Regulatory Commission, NUREG/BR-0117, No. 96-1, NUREG/BR-0117, No. 96-1. Title: ""NMSS Licensee Newsletter on Russian HEU disposition and transparency measures"". Published primary source.",https://www.nrc.gov/reading-rm/doc-collections/nuregs/brochures/br0117/961.html,,,HEU Agreement; transparency measures; DOE lead agency,HEU; DOE; transparency,NRC notice describing the 1993 HEU disposition agreement and ongoing transparency-measures negotiations led by DOE.
30,1996-04-21,Cooperative Threat Reduction and HEU Agreement,High,Russia-U.S. Joint Statement on the Highly Enriched Uranium Agreement: Transparency Measures,Public Papers,GovInfo,Public Papers of the Presidents,PPP-1996-book1-doc-pg617,published primary source,,public statement,,"Source: Public Papers of the Presidents of the United States: William J. Clinton, 1996, Book I, p. 617, ""Russia-U.S. Joint Statement on the Highly Enriched Uranium Agreement: Transparency Measures""; GovInfo.",https://www.govinfo.gov/app/details/PPP-1996-book1/PPP-1996-book1-doc-pg617,https://www.govinfo.gov/content/pkg/PPP-1996-book1/pdf/PPP-1996-book1-doc-pg617.pdf,,Local Public Papers audit,Cooperative Threat Reduction and HEU Agreement; p. 617; Public Papers,"Source: Public Papers of the Presidents of the United States: William J. Clinton, 1996, Book I, p. 617, ""Russia-U.S. Joint Statement on the Highly Enriched Uranium Agreement: Transparency Measures""; GovInfo."
31,1996-06-01,Cooperative Threat Reduction and HEU Agreement,High,Statement on Arms Reduction Agreements With Russia and Ukraine,Public Papers,GovInfo,Public Papers of the Presidents,PPP-1996-book1-doc-pg849,published primary source,,public statement,,"Source: Public Papers of the Presidents of the United States: William J. Clinton, 1996, Book I, pp. 849-850, ""Statement on Arms Reduction Agreements With Russia and Ukraine""; GovInfo.",https://www.govinfo.gov/app/details/PPP-1996-book1/PPP-1996-book1-doc-pg849,https://www.govinfo.gov/content/pkg/PPP-1996-book1/pdf/PPP-1996-book1-doc-pg849.pdf,,Local Public Papers audit,Cooperative Threat Reduction and HEU Agreement; pp. 849-850; Public Papers,"Source: Public Papers of the Presidents of the United States: William J. Clinton, 1996, Book I, pp. 849-850, ""Statement on Arms Reduction Agreements With Russia and Ukraine""; GovInfo."
32,1996-09-23,Cooperative Threat Reduction and HEU Agreement,Medium,Statement on Signing the National Defense Authorization Act for Fiscal Year 1997,Public Papers,GovInfo,Public Papers of the Presidents,PPP-1996-book2-doc-pg1645,published primary source,,public statement,,"Source: Public Papers of the Presidents of the United States: William J. Clinton, 1996, Book II, pp. 1645-1647, ""Statement on Signing the National Defense Authorization Act for Fiscal Year 1997""; GovInfo. Published primary source.",https://www.govinfo.gov/app/details/PPP-1996-book2/PPP-1996-book2-doc-pg1645,https://www.govinfo.gov/content/pkg/PPP-1996-book2/pdf/PPP-1996-book2-doc-pg1645.pdf,,Local public milestone page,Nunn-Lugar; Cooperative Threat Reduction; Nunn-Lugar II; NDAA FY1997,Clinton's signing statement for the FY1997 defense authorization noted authorization for Nunn-Lugar Cooperative Threat Reduction and establishment of Nunn-Lugar II.
33,,Cooperative Threat Reduction and HEU Agreement,Medium,Notebooks: [Nunn Lugar Meeting],NARA Scout candidate,National Archives Catalog,NSC Records Management System,NAID 235148478,fileUnit,,cached NARA Scout candidate,,"Source: National Archives Catalog, NSC Records Management System, NAID 235148478. File-unit title: ""Notebooks: [Nunn Lugar Meeting]"". File-unit lead surfaced for research triage; item-level document text, classification, date, and pagination pending.",https://catalog.archives.gov/id/235148478,,https://therealjameswilson.github.io/nara-scout/?q=Nunn-Lugar,Cooperative Threat Reduction and HEU Agreement: Nunn-Lugar,Cooperative Threat Reduction and HEU Agreement,NARA Scout candidate located for Nunn-Lugar meeting notebooks in Clinton NSC records.
34,,Cooperative Threat Reduction and HEU Agreement,Review,Working Groups: [Space Cooperation and Standing Committee Nuclear Materials],NARA Scout candidate,National Archives Catalog,NSC Records Management System,NAID 235148508,fileUnit,,cached NARA Scout candidate,,"Source: National Archives Catalog, NSC Records Management System, NAID 235148508. File-unit title: ""Working Groups: [Space Cooperation and Standing Committee Nuclear Materials]"". File-unit lead surfaced for research triage; item-level document text, classification, date, and pagination pending.",https://catalog.archives.gov/id/235148508,,https://therealjameswilson.github.io/nara-scout/?q=nuclear%20materials%20security,Cooperative Threat Reduction and HEU Agreement: nuclear materials security,Cooperative Threat Reduction and HEU Agreement,NARA Scout candidate for standing committee nuclear-materials work in Clinton NSC records.
35,1993-03-09,Nonproliferation Regimes,High,Statement on nuclear cooperation,Archived White House,Archived White House,Clinton administration public record,1993-03-09 White House statement,published primary source,,public statement,,"Source: Archived White House, Clinton administration public record, 1993-03-09 White House statement. Title: ""Statement on nuclear cooperation"". Published primary source.",https://clintonwhitehouse6.archives.gov/1993/03/1993-03-09-statement-on-nuclear-cooperation.html,,,Local public milestone page,nuclear cooperation; export criteria; nonproliferation,Early Clinton primary-source statement on nuclear cooperation and export criteria under the Nuclear Non-Proliferation Act framework.
36,1993-09-27,Nonproliferation Regimes,High,Address to the United Nations General Assembly,Archived White House,Archived White House,Clinton administration public record,1993-09-27 UNGA address,published primary source,,public statement,,"Source: Archived White House, Clinton administration public record, 1993-09-27 UNGA address. Title: ""Address to the United Nations General Assembly"". Published primary source.",https://clintonwhitehouse6.archives.gov/1993/09/1993-09-27-presidents-address-to-the-un.html,,,Local public milestone page,United Nations; test ban; CWC; export controls,"Public presidential statement tying together nuclear materials, test-ban diplomacy, CWC implementation, missile transfers, and export controls."
37,1995-05-10,Nonproliferation Regimes,High,Joint Statement on Nonproliferation,Public Papers,GovInfo,Public Papers of the Presidents,PPP-1995-book1-doc-pg669,published primary source,,public statement,,"Source: Public Papers of the Presidents of the United States: William J. Clinton, 1995, Book I, pp. 669-670, ""Joint Statement on Nonproliferation""; GovInfo.",https://www.govinfo.gov/app/details/PPP-1995-book1/PPP-1995-book1-doc-pg669,https://www.govinfo.gov/content/pkg/PPP-1995-book1/pdf/PPP-1995-book1-doc-pg669.pdf,,Local Public Papers audit,Nonproliferation Regimes; pp. 669-670; Public Papers,"Source: Public Papers of the Presidents of the United States: William J. Clinton, 1995, Book I, pp. 669-670, ""Joint Statement on Nonproliferation""; GovInfo."
